Id,GEOID,Geography,Calls_2012,Cases_2012,Est_2012,Calls_2013,Cases_2013,Est_2013,Calls_2014,Cases_2014,Est_2014,Calls_2015,Cases_2015,Est_2015,Calls_2016,Cases_2016,Est_2016
0500000US05137,5137,"Stone County, Arkansas",0,0,12610,1,0,12490,0,0,12445,0,0,12430,1,0,12539
0500000US05139,5139,"Union County, Arkansas",1,0,40864,2,0,40603,1,0,40158,1,0,40158,2,1,39887
0500000US05141,5141,"Van Buren County, Arkansas",0,0,17167,1,0,16992,1,0,16893,1,0,16780,1,0,16628
0500000US05143,5143,"Washington County, Arkansas",5,1,211497,12,2,215979,8,2,219891,8,3,224233,10,3,228049
0500000US05145,5145,"White County, Arkansas",2,0,78670,5,1,78635,3,1,78532,3,1,79013,4,1,79263
0500000US05147,5147,"Woodruff County, Arkansas",0,0,7068,0,0,7042,0,0,6886,0,0,6727,0,0,6641
0500000US05149,5149,"Yell County, Arkansas",1,0,21804,1,0,21768,1,0,21850,1,0,21607,1,0,21552
,,California,1662,489,38011074,2597,773,38335203,3495,912,38680810,3626,982,38993940,4137,1323,39250017
0500000US06001,6001,"Alameda County, California",68,20,1555542,107,32,1581226,145,38,1608868,152,41,1632747,174,56,1647704
0500000US06003,6003,"Alpine County, California",0,0,1123,0,0,1141,0,0,1104,0,0,1106,0,0,1071
0500000US06005,6005,"Amador County, California",2,0,37089,2,1,36576,3,1,36739,3,1,37026,4,1,37383
0500000US06007,6007,"Butte County, California",10,3,221180,15,4,222116,20,5,223974,21,6,225251,24,8,226864
0500000US06009,6009,"Calaveras County, California",2,1,44760,3,1,44577,4,1,44589,4,1,44840,5,2,45171
0500000US06011,6011,"Colusa County, California",1,0,21323,1,0,21322,2,1,21256,2,1,21318,2,1,21588
0500000US06013,6013,"Contra Costa County, California",47,14,1078242,74,22,1094030,100,26,1108996,104,28,1123231,120,38,1135127
0500000US06015,6015,"Del Norte County, California",1,0,28212,2,1,27837,2,1,27252,3,1,27301,3,1,27540
0500000US06017,6017,"El Dorado County, California",8,2,180558,12,4,181427,17,4,183031,17,5,184359,20,6,185625
0500000US06019,6019,"Fresno County, California",41,12,946844,65,19,953762,87,23,963151,90,24,972130,103,33,979915
0500000US06021,6021,"Glenn County, California",1,0,27938,2,1,27915,3,1,27982,3,1,27961,3,1,28085
0500000US06023,6023,"Humboldt County, California",6,2,134663,9,3,134555,12,3,134665,13,3,135383,14,5,136646
0500000US06025,6025,"Imperial County, California",8,2,177287,12,4,177194,16,4,178866,17,5,179806,19,6,180883
0500000US06027,6027,"Inyo County, California",1,0,18408,1,0,18418,2,0,18410,2,0,18251,2,1,18144
0500000US06029,6029,"Kern County, California",37,11,855808,59,17,864454,79,21,872138,82,22,879497,93,30,884788
0500000US06031,6031,"Kings County, California",7,2,151042,10,3,150480,14,4,149669,14,4,150331,16,5,149785
0500000US06033,6033,"Lake County, California",3,1,63942,4,1,63776,6,2,64099,6,2,64446,7,2,64116
0500000US06035,6035,"Lassen County, California",1,0,33662,2,1,32144,3,1,31714,3,1,31333,3,1,30870
0500000US06037,6037,"Los Angeles County, California",435,128,9953555,678,202,10015436,910,237,10066615,940,255,10112255,1069,342,10137915
0500000US06039,6039,"Madera County, California",7,2,151947,10,3,151811,14,4,154071,14,4,154306,16,5,154697
0500000US06041,6041,"Marin County, California",11,3,256064,18,5,258506,24,6,260516,24,7,261054,27,9,260651
0500000US06043,6043,"Mariposa County, California",1,0,17858,1,0,17746,2,0,17658,2,0,17553,2,1,17410
0500000US06045,6045,"Mendocino County, California",4,1,87409,6,2,87207,8,2,87449,8,2,87353,9,3,87628
0500000US06047,6047,"Merced County, California",11,3,261430,18,5,262661,24,6,265139,25,7,267101,28,9,268672
0500000US06049,6049,"Modoc County, California",0,0,9328,1,0,9100,1,0,9010,1,0,8933,1,0,8795
0500000US06051,6051,"Mono County, California",1,0,14325,1,0,14020,1,0,14045,1,0,13885,1,0,13981
0500000US06053,6053,"Monterey County, California",19,5,425799,29,9,428064,39,10,429902,40,11,432007,46,15,435232
0500000US06055,6055,"Napa County, California",6,2,138898,9,3,140102,13,3,141097,13,4,141854,15,5,142166
0500000US06057,6057,"Nevada County, California",4,1,98305,7,2,98156,9,2,98796,9,2,98829,10,3,99107
0500000US06059,6059,"Orange County, California",135,40,3084935,211,63,3112576,283,74,3134438,294,79,3156573,334,107,3172532
0500000US06061,6061,"Placer County, California",16,5,361018,25,7,366435,33,9,370486,35,9,374383,40,13,380531
0500000US06063,6063,"Plumas County, California",1,0,19327,1,0,18844,2,0,18573,2,0,18401,2,1,18627
0500000US06065,6065,"Riverside County, California",99,29,2264919,155,46,2291452,210,55,2322455,219,59,2352892,252,80,2387741
0500000US06067,6067,"Sacramento County, California",63,19,1447236,99,29,1460023,134,35,1478137,139,38,1496644,160,51,1514460
0500000US06069,6069,"San Benito County, California",2,1,56799,4,1,57471,5,1,58098,5,1,58473,6,2,59414
0500000US06071,6071,"San Bernardino County, California",91,27,2077247,141,42,2087945,190,50,2105935,197,53,2122545,226,72,2140096
0500000US06073,6073,"San Diego County, California",139,41,3181513,218,65,3218419,294,77,3258856,306,83,3290245,350,112,3317749
0500000US06075,6075,"San Francisco County, California",36,11,828816,57,17,839280,77,20,850424,80,22,862004,92,29,870887
0500000US06077,6077,"San Joaquin County, California",31,9,700611,48,14,703265,64,17,713218,67,18,723496,77,25,733709
0500000US06079,6079,"San Luis Obispo County, California",12,4,274487,19,6,276191,25,7,278877,26,7,280960,30,10,282887
0500000US06081,6081,"San Mateo County, California",32,10,739982,51,15,748952,68,18,756819,71,19,763191,81,26,764797
